date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:52	13/13	---M--	200	added ('OK')	text/plain	etag:%227303b0-d-4fded1fa7a6c0%22	http://iondigi.com/robots.txt		(from )
13:13:54	53872/53872	---M--	200	added ('OK')	text/html	etag:%227306a9-d270-5281d08c76080%22	http://iondigi.com/demo/html/profitheme/index-background-video.html	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/index-background-video.html	(from )
13:13:54	1761/1761	---M--	200	added ('OK')	image/x-icon	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/favicon.ico	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/favicon.ico	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:13:59	55789/55789	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Dec%202015%2014:03:47%20GMT	http://iondigi.com/demo/html/profitheme/css/animate.min.css	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/css/animate.min.css	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:01	147388/147388	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Dec%202015%2014:03:47%20GMT	http://iondigi.com/demo/html/profitheme/css/bootstrap.css	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/css/bootstrap.css	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:01	26711/26711	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Dec%202015%2014:03:47%20GMT	http://iondigi.com/demo/html/profitheme/css/font-awesome.min.css	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/css/font-awesome.min.css	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:05	120779/120779	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Jan%202016%2014:45:06%20GMT	http://iondigi.com/demo/html/profitheme/css/style.css	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/css/style.css	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:10	49305/49305	---M--	200	added ('OK')	text/html	etag:%227306b5-c099-5281d08c76080%22	http://iondigi.com/demo/html/profitheme/index-slider.html	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/index-slider.html	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:10	52326/52326	---M--	200	added ('OK')	text/html	etag:%227306c4-cc66-5281d08d6a2c0%22	http://iondigi.com/demo/html/profitheme/index.html	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/index.html	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:11	110880/110880	---M--	200	added ('OK')	text/html	etag:%227306af-1b120-5281d08c76080%22	http://iondigi.com/demo/html/profitheme/index-central-logo.html	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/index-central-logo.html	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:11	22413/22413	---M--	200	added ('OK')	text/html	etag:%227306a0-578d-5281d08c76080%22	http://iondigi.com/demo/html/profitheme/blog.html	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/blog.html	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:16	50821/50821	---M--	200	added ('OK')	image/jpeg	etag:%221412007059%22	http://img.youtube.com/vi/y7hzO7gaqyE/maxresdefault.jpg	C:/Meus%20Sites/PreemptivaTemplate/img.youtube.com/vi/y7hzO7gaqyE/maxresdefault.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:19	46468/46468	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:10%20GMT	http://iondigi.com/demo/html/profitheme/images/cust-1-index-1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/cust-1-index-1.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:20	24785/24785	---M--	200	added ('OK')	text/html	etag:%22730731-60d1-5281d08d6a2c0%22	http://iondigi.com/demo/html/profitheme/product_page.html	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/product_page.html	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:26	60659/60659	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/prod-2.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/prod-2.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:30	61811/61811	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/prod-1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/prod-1.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:36	137050/137050	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/cust-2-index-1.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/cust-2-index-1.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:42	92082/92082	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/prod-3.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/prod-3.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:46	96128/96128	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/prod-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/prod-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:47	67813/67813	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/prod-5.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/prod-5.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:50	23317/23317	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/team-1-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/team-1-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:51	25005/25005	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/team-2-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/team-2-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:57	29753/29753	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/team-4-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/team-4-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:14:58	46534/46534	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:13%20GMT	http://iondigi.com/demo/html/profitheme/images/team-3-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/team-3-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:15:01	23982/23982	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:14%20GMT	http://iondigi.com/demo/html/profitheme/images/team-5-index-4.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/team-5-index-4.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:15:14	397870/397870	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/images/cust-bg-index-3.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/cust-bg-index-3.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:15:15	28340/28340	---M--	200	added ('OK')	text/html	etag:%22730697-6eb4-5281d08c76080%22	http://iondigi.com/demo/html/profitheme/blog_post.html	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/blog_post.html	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:15:31	96091/96091	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/news-3.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/news-3.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:15:32	177530/177530	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:12%20GMT	http://iondigi.com/demo/html/profitheme/images/news-2.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/news-2.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:15:44	394251/394251	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Dec%202015%2012:54:14%20GMT	http://iondigi.com/demo/html/profitheme/images/team-bg-index-3.jpg	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/images/team-bg-index-3.jpg	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:15:46	95957/95957	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/js/jquery.min.js	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/js/jquery.min.js	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:15:47	8787/8787	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/js/waypoints.min.js	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/js/waypoints.min.js	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:15:47	2515/2515	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/js/ScrollToPlugin.min.js	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/js/ScrollToPlugin.min.js	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:15:49	104797/104797	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/js/TweenMax.min.js	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/js/TweenMax.min.js	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
13:15:50	42713/42713	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2030%20Dec%202015%2012:54:11%20GMT	http://iondigi.com/demo/html/profitheme/js/Slider.js	C:/Meus%20Sites/PreemptivaTemplate/iondigi.com/demo/html/profitheme/js/Slider.js	(from http://iondigi.com/demo/html/profitheme/index-background-video.html)
